"PVWatts Hourly PV Performance Data"
"Requested Location","52242, USA"
"Location","Lat, Lng: 41.65, -91.54"
"Latitude (DD)","41.65"
"Longitude (DD)","-91.54"
"Elevation (m)","207.75999450684"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","30"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","5","5","0","0","1","4.9","0.87","0","1","0","0"
"1","5","6","0","0","1","4.8","0.87","0","1","0","0"
"1","5","7","0","0","2","4.6","0.87","0","2","0","0"
"1","5","8","309","58","2","4.3","0.87","194.963","5.214","681.444","641.444"
"1","5","9","539","98","2","4.1","0.87","467.807","10.04","1721.581","1644.724"
"1","5","10","670","116","3","4","0.87","664.635","14.585","2409.267","2308.043"
"1","5","11","747","118","3","4","0.87","785.292","16.678","2815.269","2699.658"
"1","5","12","757","119","4","4","0.87","804.587","18.012","2868.314","2750.824"
"1","5","13","743","107","4","3.8","0.87","738.747","17.257","2649.641","2539.899"
"1","5","14","685","88","4","3.3","0.87","589.979","15.447","2138.25","2046.629"
"1","5","15","531","62","3","2.8","0.87","364.889","10.671","1321.936","1259.241"
"1","5","16","149","19","3","2.8","0.87","77.153","4.369","170.093","148.212"
"1","5","17","0","0","3","3","0.87","0","3","0","0"
"1","5","18","0","0","3","3.4","0.87","0","3","0","0"
"1","5","19","0","0","3","3.8","0.87","0","3","0","0"
"1","5","20","0","0","3","4.1","0.87","0","3","0","0"
"1","5","21","0","0","3","4.4","0.87","0","3","0","0"
"1","5","22","0","0","3","4.6","0.87","0","3","0","0"
"1","5","23","0","0","3","4.8","0.87","0","3","0","0"
"1","6","0","0","0","3","4.9","0.87","0","3","0","0"
"1","6","1","0","0","3","5","0.87","0","3","0","0"
"1","6","2","0","0","3","5.2","0.87","0","3","0","0"
"1","6","3","0","0","4","5.1","0.87","0","4","0","0"
"1","6","4","0","0","4","4.9","0.87","0","4","0","0"
"1","6","5","0","0","4","4.9","0.87","0","4","0","0"
"1","6","6","0","0","4","4.9","0.87","0","4","0","0"
"1","6","7","0","0","4","4.8","0.87","0","4","0","0"
"1","6","8","25","48","5","5","0.87","60.939","5.915","203.538","180.471"
"1","6","9","0","69","6","5.2","0.87","64.255","6.949","220.628","196.956"
"1","6","10","0","126","8","5.1","0.87","122.904","9.838","426.979","395.996"
"1","6","11","284","175","9","5.8","0.87","451.733","15.235","1612.668","1539.671"
"1","6","12","404","160","8","6.1","0.87","551.977","15.37","1977.763","1891.829"
"1","6","13","293","159","7","5.3","0.87","428.396","13.276","1542.969","1472.441"
"1","6","14","507","90","6","3.9","0.87","473.217","14.372","1715.952","1639.294"
"1","6","15","335","63","4","2.7","0.87","264.836","9.664","954.857","905.169"
"1","6","16","0","20","2","2.2","0.87","20.013","2.405","44.084","26.668"
"1","6","17","0","0","1","1.9","0.87","0","1","0","0"
"1","6","18","0","0","1","1.6","0.87","0","1","0","0"
"1","6","19","0","0","1","1.4","0.87","0","1","0","0"
"1","6","20","0","0","1","1.2","0.87","0","1","0","0"
"1","6","21","0","0","2","0.8","0.87","0","2","0","0"
"1","6","22","0","0","2","0.5","0.87","0","2","0","0"
"1","6","23","0","0","2","0.6","0.87","0","2","0","0"
"1","7","0","0","0","1","1","0.87","0","1","0","0"
"1","7","1","0","0","1","1.1","0.87","0","1","0","0"
"1","7","2","0","0","1","1.2","0.87","0","1","0","0"
"1","7","3","0","0","2","1.4","0.87","0","2","0","0"
"1","7","4","0","0","2","1.7","0.87","0","2","0","0"
"1","7","5","0","0","3","2.1","0.87","0","3","0","0"
"1","7","6","0","0","5","3","0.87","0","5","0","0"
"1","7","7","0","0","7","4.2","0.87","0","7","0","0"
