"PVWatts Hourly PV Performance Data"
"Requested Location","52242, USA"
"Location","Lat, Lng: 41.65, -91.54"
"Latitude (DD)","41.65"
"Longitude (DD)","-91.54"
"Elevation (m)","207.75999450684"
"DC System Size (kW)","4"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","9.46"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","5","5","0","0","1","4.9","0.87","0","1","0","0"
"1","5","6","0","0","1","4.8","0.87","0","1","0","0"
"1","5","7","0","0","2","4.6","0.87","0","2","0","0"
"1","5","8","309","58","2","4.3","0.87","143.54","4.303","454.015","422.073"
"1","5","9","539","98","2","4.1","0.87","323.871","7.514","1154.118","1097.368"
"1","5","10","670","116","3","4","0.87","470.807","11.199","1718.523","1641.774"
"1","5","11","747","118","3","4","0.87","560.068","12.755","2036.928","1948.898"
"1","5","12","757","119","4","4","0.87","574.782","14.01","2080.325","1990.756"
"1","5","13","743","107","4","3.8","0.87","521.32","13.354","1894.74","1811.747"
"1","5","14","685","88","4","3.3","0.87","404.851","11.812","1450.839","1383.576"
"1","5","15","531","62","3","2.8","0.87","234.663","7.818","780.615","737.101"
"1","5","16","149","19","3","2.8","0.87","41.794","3.678","76.536","57.969"
"1","5","17","0","0","3","3","0.87","0","3","0","0"
"1","5","18","0","0","3","3.4","0.87","0","3","0","0"
"1","5","19","0","0","3","3.8","0.87","0","3","0","0"
"1","5","20","0","0","3","4.1","0.87","0","3","0","0"
"1","5","21","0","0","3","4.4","0.87","0","3","0","0"
"1","5","22","0","0","3","4.6","0.87","0","3","0","0"
"1","5","23","0","0","3","4.8","0.87","0","3","0","0"
"1","6","0","0","0","3","4.9","0.87","0","3","0","0"
"1","6","1","0","0","3","5","0.87","0","3","0","0"
"1","6","2","0","0","3","5.2","0.87","0","3","0","0"
"1","6","3","0","0","4","5.1","0.87","0","4","0","0"
"1","6","4","0","0","4","4.9","0.87","0","4","0","0"
"1","6","5","0","0","4","4.9","0.87","0","4","0","0"
"1","6","6","0","0","4","4.9","0.87","0","4","0","0"
"1","6","7","0","0","4","4.8","0.87","0","4","0","0"
"1","6","8","25","48","5","5","0.87","56.146","5.839","183.318","160.968"
"1","6","9","0","69","6","5.2","0.87","68.294","7.009","235.008","210.827"
"1","6","10","0","126","8","5.1","0.87","126.693","9.894","440.358","408.9"
"1","6","11","284","175","9","5.8","0.87","353.394","13.875","1260.194","1199.686"
"1","6","12","404","160","8","6.1","0.87","414.386","13.531","1487.897","1419.32"
"1","6","13","293","159","7","5.3","0.87","331.661","11.856","1192.793","1134.673"
"1","6","14","507","90","6","3.9","0.87","329.795","11.806","1177.772","1120.185"
"1","6","15","335","63","4","2.7","0.87","176.616","7.703","589.979","553.219"
"1","6","16","0","20","2","2.2","0.87","20.045","2.406","44.129","26.711"
"1","6","17","0","0","1","1.9","0.87","0","1","0","0"
"1","6","18","0","0","1","1.6","0.87","0","1","0","0"
"1","6","19","0","0","1","1.4","0.87","0","1","0","0"
"1","6","20","0","0","1","1.2","0.87","0","1","0","0"
"1","6","21","0","0","2","0.8","0.87","0","2","0","0"
"1","6","22","0","0","2","0.5","0.87","0","2","0","0"
"1","6","23","0","0","2","0.6","0.87","0","2","0","0"
"1","7","0","0","0","1","1","0.87","0","1","0","0"
"1","7","1","0","0","1","1.1","0.87","0","1","0","0"
"1","7","2","0","0","1","1.2","0.87","0","1","0","0"
"1","7","3","0","0","2","1.4","0.87","0","2","0","0"
"1","7","4","0","0","2","1.7","0.87","0","2","0","0"
"1","7","5","0","0","3","2.1","0.87","0","3","0","0"
"1","7","6","0","0","5","3","0.87","0","5","0","0"
"1","7","7","0","0","7","4.2","0.87","0","7","0","0"
